Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
ABILITY_CARD_LureOfTheVoid,Lure of the Void,Tentation du Néant,Verlockende Leere,Reclamo del Vacío,Powab Pustki,
ABILITY_CARD_GraspOfDoom,Grasp of Doom,Emprise de la Fatalité,Griff des Schicksals,Presa de la fatalidad,Chwyt Zagłady,
ABILITY_CARD_MasterInfluence,Master Influence,Influence du Maître,Meisterhafter Einfluss,Dominio del influjo,Mistrzowski Wpływ,
ABILITY_CARD_Suggestion,Suggestion,Suggestion,Einflüsterung,Sugestión,Sugestia,
ABILITY_CARD_ResignedFrenzy,Resigned Frenzy,Frénésie Résignée,Verzweifelte Wut,Abandonarse al frenesí,Niechętny Szał,
ABILITY_CARD_ColdEmbrace,Cold Embrace,Baiser Froid,Eisige Umarmung,Abrazo gélido,Zimne Objęcia,
ABILITY_CARD_SapWarmth,Sap Warmth,Drainer la Chaleur,Wärmeraub,Drenar calor,Wyssanie Ciepła,
ABILITY_CARD_GiveAndTake,Give and Take,Donner et Prendre,Geben und Nehmen,Toma y daca,Daj i Zabierz,
ABILITY_CARD_CrushingCold,Crushing Cold,Froid Accablant,Klirrende Kälte,Frío demoledor,Miażdżące Zimno,
ABILITY_CARD_TauntingFate,Taunting Fate,Destin Railleur,Schicksalsspiel,Tentar al destino,Kuszenie Losu,
ABILITY_CARD_CommandingPresence,Commanding Presence,Présence Imposante,Gebieterische Präsenz,Presencia imponente,Dominująca Obecność,
ABILITY_CARD_SavageInstinct,Savage Instinct,Instinct Sauvage,Wilder Instinkt,Instinto salvaje,Dziki Instynkt,
ABILITY_CARD_TheLastJourney,The Last Journey,Le Dernier Voyage,Letzte Reise,El último viaje,Ostatnia Podróż,
ABILITY_CARD_StandFast,Stand Fast,Tenir Bon,Standhalten,Firmeza,Nieustępliwość,
ABILITY_CARD_WitheringConviction,Withering Conviction,Conviction Cinglante,Tollkühn,Convicción debilitante,Słabnące Przekonanie,
ABILITY_CARD_SurgeOfPower,Surge of Power,Déferlement de Pouvoir,Machtschwall,Oleada de energía,Przypływ Mocy,
ABILITY_CARD_HatefulBlast,Hateful Blast,Déflagration de Haine,Hass-Explosion,Ráfaga de odio,Nienawistny Wybuch,
ABILITY_CARD_SpiritHunger,Spirit Hunger,Esprit Affamé,Seelenhunger,Hambre espiritual,Duchowy Głód,
ABILITY_CARD_LullIntoOblivion,Lull Into Oblivion,Sombrer dans l'Oubli,Schlaf des Vergessens,El reposo del olvido,Kołysanka Zapomnienia,
ABILITY_CARD_EmpoweredLink,Empowered Link,Lien Exalté,Mächtige Verbindung,Vínculo reforzado,Wzmocnione Ogniwo,
ABILITY_CARD_EyeOfTheVoid,Eye of the Void,Œil du Néant,Auge der Leere,Ojo del Vacío,Oko Pustki,
ABILITY_CARD_PossessedByFate,Possessed By Fate,Possédé par le Destin,Schicksalsbesessen,Poseídos por el Destino,Opętanie Losem,
ABILITY_CARD_SwiftStrength,Swift Strength,Force Vive,Flinke Stärke,Fuerza veloz,Szybka Siła,
ABILITY_CARD_HealingSands,Healing Sands,Sables de Guérison,Heilender Sand,Arenas curativas,Leczące Piaski,
ABILITY_CARD_ShieldSpikes,Shield Spikes,Bouclier à Pointes,Schildstachel,Púas de escudo,Kolce Tarczy,
ABILITY_CARD_FlamingSickle,Flaming Sickle,Faucille Ardente,Flammensichel,Hoz flamígera,Płonący Sierp,
ABILITY_CARD_BlindingSickle,Blinding Sickle,Faucille Aveuglante,Blendsichel,Hoz cegadora,Oślepiający Sierp,
ABILITY_CARD_TwirlingStabs,Twirling Stabs,Coups Tournoyants,Wirbelstiche,Remolino de cortes,Obrotowe Pchnięcia,
ABILITY_CARD_FlameShroud,Flame Shroud,Voile de Flamme,Flammenschleier,Manto de llamas,Płomienny Całun,
ABILITY_CARD_ShockingAdvance,Shocking Advance,Progression Choquante,Schockvorstoß,Avance impactante,Porażające Natarcie,
ABILITY_CARD_ShieldOfTheDesert,Shield of the Desert,Bouclier du Désert,Wüstenschild,Escudo del desierto,Tarcza Pustyni,
ABILITY_CARD_DesertNight,Desert Night,Nuit dans le Désert,Wüstennacht,Noche desértica,Pustynna Noc,
ABILITY_CARD_WarriorOfTheSun,Warrior of the Sun,Guerrier du Soleil,Sonnenkrieger,Guerrero del sol,Wojownik Słońca,
ABILITY_CARD_BladeDance,Blade Dance,Danse de la Lame,Klingentanz,Danza de los filos,Taniec Ostrzy,
ABILITY_CARD_PrecisionStrike,Precision Strike,Frappe Précise,Präzisionsangriff,Golpe de precisión,Precyzyjne Uderzenie,
ABILITY_CARD_HarvestSickle,Harvest Sickle,Moissonneuse,Erntesichel,Hoz de la cosecha,Żniwny Sierp,
ABILITY_CARD_BarbaricInstincts,Barbaric Instincts,Instincts Barbares,Barbarische Instinkte,Instinto salvaje,Brarbarzyński Instynkt,
ABILITY_CARD_WarmthOfTheSun,Warmth of the Sun,Chaleur du Soleil,Sonnenwärme,La calidez del sol,Ciepło Słońca,
ABILITY_CARD_StranglingChain,Strangling Chain,Chaîne d'Étranglement,Würgekette,Cadena estranguladora,Duszący Łańcuch,
ABILITY_CARD_RadiantSickle,Radiant Sickle,Faucille Rayonnante,Strahlensichel,Hoz radiante,Płomienny Sierp,
ABILITY_CARD_BurnAwayTheDark,Burn Away the Dark,Brûler les Ténèbres,Finsternis ausbrennen,Incinerar la oscuridad,Wypalić Ciemność,
ABILITY_CARD_SandDevil,Sand Devil,Diable des Sables,Sandteufel,Remolino de arena,Piaskowy Diabeł,
ABILITY_CARD_FierceBrilliance,Fierce Brilliance,Éclat Féroce,Grimmiger Glanz,Fulgor feroz,Przenikliwy Blask,
ABILITY_CARD_FlyingSickle,Flying Sickle,Faucille Volante,Flugsichel,Hoz voladora,Latający Sierp,
ABILITY_CARD_ViciousBallet,Vicious Ballet,Ballet Déchaîné,Boshafter Tanz,Ballet violento,Brutalny Balet,
ABILITY_CARD_HornsOfTheBeast,Horns of the Beast,Cornes de la Bête,Bestienhörner,Cuernos de la bestia,Rogi Bestii,
ABILITY_CARD_PrismaticSickle,Prismatic Sickle,Faucille Prismatique,Prismatische Sichel,Hoz prismática,Przyzmatyczne Uderzenie,
ABILITY_CARD_NoFear,No Fear,Sans Peur,Furchtlos,No hay miedo,Bez Strachu,
ABILITY_CARD_SoaringShield,Soaring Shield,Bouclier Jaillissant,Dynamischer Schild,Escudo en las alturas,Strzelista Tarcza,
ABILITY_CARD_HonorableFury,Honorable Fury,Fureur Honorable,Ehrbarer Zorn,Furia honorable,Honorowa Furia,
ABILITY_CARD_TheFavorite,The Favorite,La Favorite,Der Liebling,La Favorita,Ulubieniec,
ABILITY_CARD_Retrieval,Retrieval,Extraction,Bergung,Recobrar,Odzyskanie,
ABILITY_CARD_CloseCuts,Close Cuts,Coupe à Ras,Knappe Kiste,Cortes apurados,Bliskie Cięcia,
ABILITY_CARD_CenterMass,Center Mass,Centre d'Inertie,Schwerpunkt,Centro de masa,Środek Ciężkości,
ABILITY_CARD_StoppingPower,Stopping Power,Puissance d'Arrêt,Stoppwirkung,Poner freno,Powstrzymująca Siła,
ABILITY_CARD_DoubleThrow,Double Throw,Double Lancer,Doppelwurf,Doble lanzamiento,Podwójny Rzut,
ABILITY_CARD_DisorientingBarrage,Disorienting Barrage,Barrage Déconcertant,Verwirrende Salve,Bombardeo desorientador,Dezorientująca Salwa,
ABILITY_CARD_PowerPitch,Power Pitch,Lancer Puissant,Kraftwurf,Con todas tus fuerzas,Mocarny Miotacz,
ABILITY_CARD_FollowThrough,Follow Through,Accompagnement,Durchschwung,Acosar a la presa,Wykończenie,
ABILITY_CARD_SecondWind,Second Wind,Second Souffle,Frischer Wind,Recuperar fuerzas,Drugi Oddech,
ABILITY_CARD_CarePackage,Care Package,Ravitaillement,Pflegepaket,Suministros de apoyo,Pakiet Opiekuńczy,
ABILITY_CARD_ExtraLift,Extra Lift,Coup d'Accélérateur,Extraschwung,Viento a favor,Dorzut,
ABILITY_CARD_FancyHat,Fancy Hat,Chapeau Élégant,Kopfschmuck,Sombrero elegante,Gustowny Kapelusz,
ABILITY_CARD_RepeatShot,Repeat Shot,Tir Répété,Nachschuss,Segundo intento,Repeta,
ABILITY_CARD_Ricochet,Ricochet,Ricochet,Querschläger,Tiro con rebote,Rykoszet,
ABILITY_CARD_FearsomeEfficiency,Fearsome Efficiency,Effroyable Efficacité,Schreckliche Effizienz,Eficiencia terrorífica,Przerażająca Skuteczność,
ABILITY_CARD_SharpenedBlades,Sharpened Blades,Lames Aiguisées,Geschärfte Klingen,Filos agudizados,Zaostrzone Klingi,
ABILITY_CARD_RippedFromTheFlesh,Ripped From the Flesh,Arraché à la Chair,Entreißen,Arrancar de la carne,Wyrwanie z Ciała,
ABILITY_CARD_Overwatch,Overwatch,Surveillance,Überwachung,En guardia,Warta,
ABILITY_CARD_TheNewFavorite,The New Favorite,La Nouvelle Favorite,Der neue Liebling,La nueva favorita,Nowy Ulubieniec,
ABILITY_CARD_Bombardment,Bombardment,Bombardement,Bombardierung,Bombardeo,Bombardowanie,
ABILITY_CARD_QuickTurnaround,Quick Turnaround,Exécution Rapide,Umschwung,Respuesta rápida,Szybki Zwrot,
ABILITY_CARD_ExcessiveForce,Excessive Force,Force Disproportionnée,Übertriebene Gewalt,Fuerza excesiva,Nadmierny Nacisk,
ABILITY_CARD_Brutalize,Brutalize,Brutaliser,Brutale Härte,Brutalizar,Brutalizacja,
ABILITY_CARD_Shrapnel,Shrapnel,Shrapnel,Schrapnell,Metralla,Szrapnel,
ABILITY_CARD_Camaraderie,Camaraderie,Camaraderie,Kameradschaft,Camaradería,Kamraci,
ABILITY_CARD_ExecutionersAxe,Executioners Axe,Hache du Bourreau,Henkersbeil,Hacha del verdugo,Topór Kata,
ABILITY_CARD_HeartSeeker,Heart Seeker,Cherche-Cœur,Herzsucher,Buscacorazones,Prosto w Serce,
ABILITY_CARD_Windup,Windup,Élan,Schwung holen,Impulso a cuerda,Nakręcenie,
ABILITY_CARD_CrushingWeight,Crushing Weight,Poids Écrasant,Erdrücken,Peso aplastante,Miażdżący Ciężar,
ABILITY_CARD_KnockOutTheSupport,Knock Out the Support,Éliminer le Soutien,Stütze zerschlagen,Apoyo derribado,Odcięcie Wsparcia,
ABILITY_CARD_Explode,Explode,Explosion,Sprengen,Explosión,Eksplozja,
ABILITY_CARD_Implode,Implode,Implosion,Implosion,Implosión,Implozja,
ABILITY_CARD_PistonPunch,Piston Punch,Coup de Piston,Kolbenschlag,Puñetazo pistón,Uderzenie Tłoków,
ABILITY_CARD_ExplosiveBlitz,Explosive Blitz,Explosion Éclair,Explosiver Blitz,Arremetida explosiva,Wybuchowa Szarża,
ABILITY_CARD_TheBigOne,The Big One,La Grosse Bertha,Das dicke Ende,Petardazo,Duża Sprawa,
ABILITY_CARD_OneTwoPunch,One Two Punch,Enchaînement,Doppelschlag,Puñetazo doble,Cios na Dwa,
ABILITY_CARD_Rubble,Rubble,Décombres,Schutt,Escombros,Gruzowisko,
ABILITY_CARD_Level,Level,Niveau,Stufe,Arrasar,Zrównanie,
ABILITY_CARD_LobbedCharge,Lobbed Charge,Charge en Cloche,Wurfladung,Lanzamiento de carga,Podrzucony Ładunek,
ABILITY_CARD_RoboticEnhancement,Robotic Enhancement,Amélioration Robotique,Mechanikschub,Mejora robótica,Robotyczne Wzmocnienie,
ABILITY_CARD_CrashProtocol,Crash Protocol,Crash Test,Absturzprotokoll,Protocolo de choque,Protokół Zniszczenia,
ABILITY_CARD_FireBombs,Fire Bombs,Bombes Incendiaires,Brandbomben,Bombas de fuego,Bomby Ogniowe,
ABILITY_CARD_NowhereToRun,Nowhere to Run,Point de Salut,Kein Entkommen,No tienes escape,Bez Wyjśćia,
ABILITY_CARD_RemoteDetonation,Remote Detonation,Déclenchement à Distance,Fernsprengung,Detonación a distancia,Zdalna Detonacja,
ABILITY_CARD_ExtraFuel,Extra Fuel,Accélérant,Treibstoffreserve,Combustible extra,Dodatkowe Paliwo,
ABILITY_CARD_MechSuit,Mech Suit,Combinaison Mécanique,Mechanikanzug,Armadura mecanizada,Mechakombinezon,
ABILITY_CARD_DustCloud,Dust Cloud,Nuage de Poussière,Staubwolke,Nube de polvo,Chmura Pyłu,
ABILITY_CARD_DrillFist,Drill Fist,Foreuse,Bohrfaust,Puño perforante,Wiercąca Pięść,
ABILITY_CARD_MicroMissiles,Micro Missiles,Micro-Missiles,Mikroraketen,Micromisiles,Mikropociski,
ABILITY_CARD_InsultToInjury,Insult to Injury,Pour Couronner le Tout,Schmerz und Hohn,Avasallar,Dodatkowa Zniewaga,
ABILITY_CARD_GutPunch,Gut Punch,Coups au Foie,Tiefschlag,Golpe al estómago,Poniżej Pasa,
ABILITY_CARD_TheBiggerOne,The Bigger One,La Grosse Artillerie,Das dickere Ende,Traca final,Większa Sprawa,
ABILITY_CARD_CollateralDamage,Collateral Damage,Dommages Collatéraux,Kollateralschaden,Daños colaterales,Zniszczenia Uboczne,
ABILITY_CARD_WholesaleDestruction,Wholesale Destruction,Destruction Massive,Massenzerstörung,Destrucción masiva,Pełna Destrukcja,
item_name_oakcharm,Oak Charm,Charme du Chêne,Eichenamulett,Amuleto del Roble,Amulet Dębu,
item_oakcharm,"During your turn, perform a <nobr>""Bless <sprite name=Bless>,</nobr> <nobr>Range <sprite name=Range> 5""</nobr> action.","Pendant votre tour, effectuez l'action <nobr>« Bénédiction <sprite name=Bless>,</nobr> <nobr>Portée <sprite name=Range> 5 ».</nobr>","Wende während deines Zugs <nobr>""SEGEN <sprite name=Bless>,</nobr> <nobr>Reichweite <sprite name=Range> 5""</nobr> an.","Durante tu turno, realiza una acción de «<nobr>Bendición <sprite name=Bless>,</nobr> <nobr>Alcance <sprite name=Range> 5</nobr>».","Podczas twojej tury wykonaj akcję <nobr>„Błogosławieństwo <sprite name=Bless>,</nobr> <nobr>Zasięg <sprite name=Range> 5”</nobr>.",
item_name_blackcandle,Black Candle,Chandelle Noire,Schwarze Kerze,Vela negra,Czarna Świeca,
item_blackcandle,"During your ranged attack, add <nobr>CURSE <sprite name=Curse> to a single attack.","Pendant votre attaque à distance, ajoutez <nobr>MALÉDICTION <sprite name=Curse></nobr> à une seule attaque.",Füge bei deinem Fernangriff einem Einzelangriff <nobr>FLUCH <sprite name=Curse> hinzu.,"Durante tu ataque a distancia, añade <nobr>MALDICIÓN <sprite name=Curse></nobr> a un único ataque.",Podczas twojego ataku dystansowego dodaj <nobr>KLĄTWĘ <sprite name=Curse> do pojedyńczego ataku.,
item_name_robesofcommand,Robes of Command,Robes de Commandement,Befehlsrobe,Túnica de mando,Szaty Dowodzenia,
item_robesofcommand,"During your turn, one adjacent ally may perform an <nobr>""Attack <sprite name=Attack> 2</nobr>"" action.","Pendant votre tour, un allié adjacent peut effectuer une action <nobr>« Attaque <sprite name=Attack> 2 ».</nobr>","Ein angrenzender Verbündeter kann während deines Zugs einen <nobr>""Angriff <sprite name=Attack> 2</nobr>"" ausführen.","Durante tu turno, un aliado adyacente puede realizar una acción de «<nobr>Ataque <sprite name=Attack> 2</nobr>».",Podczas twojej tury jeden sąsiadujący sojusznik może wykonać akcję <nobr>„Atak <sprite name=Attack> 2</nobr>”.,
item_name_barbedaxe,Barbed Axe,Hache Barbelée,Zackenaxt,Hacha dentada,Kolczasty Topór,
item_barbedaxe,"During your attack, add <nobr>WOUND <sprite name=Wound></nobr> to the entire Attack action.","Pendant votre attaque, ajoute <nobr>BLESSURE <sprite name=Wound></nobr> à la totalité de l'action d'attaque.",Füge bei deinem Angriff der gesamten Aktion <nobr>WUNDE <sprite name=Wound></nobr> hinzu.,"Durante tu ataque, añade <nobr>HERIDA <sprite name=Wound></nobr> a la acción de ataque entera.",Podczas twojego ataku dodaj <nobr>ZRANIENIE <sprite name=Wound></nobr> na całą akcję Ataku.,
item_name_bladedarmor,Bladed Armor,Armure Tranchelame,Klingenrüstung,Armadura filosa,Zbroja Ostrzy,
item_bladedarmor,"When damaged by an attack, gain <nobr>Shield <sprite name=Shield> 2</nobr> for the attack and the attacker suffers 2 damage.","Lorsque vous subissez des dégâts du fait d'une attaque, vous gagnez <nobr>Bouclier <sprite name=Shield> 2</nobr> pour cette attaque et l'attaquant subit 2 dégâts.","Wenn du durch einen Angriff Schaden erleidest, erhältst du <nobr>Schild <sprite name=Shield> 2</nobr> für den Angriff und der Angreifer erleidet 2 Schaden.","Cuando sufras daño por un ataque, obtén <nobr>Escudo <sprite name=Shield> 2</nobr> contra el ataque y el atacante sufre 2 de daño.","Kiedy otrzymujesz obrażenia z ataku, zyskujesz <nobr>Tarczę <sprite name=Shield> 2</nobr> na ten aktak, zaś atakujący otrzymuje 2 obrażenia.",
item_name_ringofrestoration,Ring of Restoration,Anneau de Récupération,Ring der Erholung,Anillo de recuperación,Pierścień Przywrócenia,
item_ringofrestoration,"During your turn, perform a <nobr>""Heal <sprite name=Heal> 3,</nobr> <nobr>Range <sprite name=Range> 5""</nobr> action.","Pendant votre tour, effectuez l'action <nobr>« Soins <sprite name=Heal> 3,</nobr> <nobr>Portée <sprite name=Range> 5 ».</nobr>","Wende während deines Zugs <nobr>""Heilung <sprite name=Heal> 3,</nobr> <nobr>Reichweite <sprite name=Range> 5""</nobr> an.","Durante tu turno, realiza una acción de «<nobr>Curación <sprite name=Heal> 3,</nobr> <nobr>Alcance <sprite name=Range> 5</nobr>».","Podczas twojej tury wykonaj akcję <nobr>„Leczenie <sprite name=Heal> 3,</nobr> <nobr>Zasięg <sprite name=Range> 5”</nobr>.",
item_name_ringofstrength,Ring of Strength,Anneau de Force,Ring der Stärke,Anillo de fuerza,Pierścień Siły,
item_ringofstrength,"During your turn, gain <nobr>STRENGTHEN <sprite name=Strengthen>.","Pendant votre tour, vous gagnez <nobr>RENFORCEMENT <sprite name=Strengthen>.</nobr>",Erhalte während deines Zugs <nobr>STÄRKUNG <sprite name=Strengthen>.,"Durante tu turno, obtén <nobr>FORTALECIMIENTO <sprite name=Strengthen>.",Podczas twojej tury zyskaj <nobr>WZMOCNIENIE <sprite name=Strengthen>.,
item_name_chainarmor,Chain Armor,Armure de Mailles,Kettenrüstung,Armadura de malla,Zbroja Kolcza,
item_chainarmor,"During your turn, gain <nobr>Shield <sprite name=Shield> 1</nobr> for the rest of the round.","Pendant votre tour, vous gagnez <nobr>Bouclier <sprite name=Shield> 1</nobr> pendant le reste du round.","Du erhältst <nobr>Schild <sprite name=Shield> 1</nobr> für den Rest der Runde, wenn du an der Reihe bist.","Durante tu turno, obtén <nobr>Escudo <sprite name=Shield> 1</nobr> para el resto de la ronda.",Podczas twojej tury otrzymujesz <nobr>Tarczę <sprite name=Shield> 1</nobr> do końca rundy.,
item_name_throwinghammer,Throwing Hammer,Marteau de Lancer,Wurfhammer,Martillo arrojadizo,Miotany młot,
item_throwinghammer,"During your ranged attack, add <nobr>STUN <sprite name=Stun> to a single attack.","Pendant votre attaque à distance, ajoute <nobr>ÉTOURDISSEMENT <sprite name=Stun></nobr> à une seule attaque.",Füge bei deinem Fernangriff einem Einzelangriff <nobr>BETÄUBUNG <sprite name=Stun> hinzu.,"Durante tu ataque a distancia, añade <nobr>ATURDIMIENTO <sprite name=Stun> a un único ataque.","Podczas twojego dystansowego, dodaj <nobr>OGŁUSZENIE <sprite name=Stun> do pojedynczego ataku.",
