Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_1,"These look like members of the Red Raiders, one of the caravan guards says. ""They normally travel in larger groups. There could be more nearby—we need to keep moving.""","« On dirait des Pillards Rouges, s'exclame un des gardes du convoi. Sauf que, d'habitude, ils sont plus nombreux que ça. Repartons sans attendre, il y en a peut-être d'autres dans les environs. »","""Die sehen wie Roträuber aus"", sagt eine Karawanenwache. ""Gewöhnlich ziehen sie in größeren Gruppen herum. Es könnten noch mehr in der Nähe sein. Wir müssen weiter.""","—Parecen miembros de los Saqueadores Rojos —dice uno de los guardias de la caravana—. Normalmente, se mueven en grupos más grandes. Podría haber más por aquí cerca; tenemos que seguir avanzando.",„Wyglądają jak członkowie Czerwonych Jeźdźców“ - mówi jeden ze strażników karawany. „Zazwyczaj podróżują w większych grupach. W pobliżu może być ich więcej. Musimy się spieszyć!“
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_2,"Without a moment to wait, the wagons quickly pack up and continue to head down the road. Though wounded and tired, you and the other guards do your best to keep the caravan hurrying along","Les chariots se remettent donc en route sans attendre. Bien que blessés et fatigués, les gardes et vous-même suivez le mouvement, vous assurant que tout se passe le mieux possible.","Eilig werden die Wagen beladen und setzen den Weg fort. Du und die anderen Wachen seid verwundet und erschöpft, tut jedoch euer Bestes, um die Karawane voranzutreiben.","Sin siquiera un momento para descansar, preparáis los carros rápidamente y continuáis por el camino. Aunque heridos y cansados, el resto de los guardias y tú hacéis todo lo que podéis para que la caravana vaya a toda prisa.","Bez chwili na odpoczynek zwijacie obóz i ruszacie w dalszą drogę. Choć jesteście ranni i zmęczeni, ponaglacie karawanę do szybszej jazdy."
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_3,"A tense hour goes by without event, but then an arrow whistles by your head, and you look into the northern brush to see the large figures of an Inox war band approaching.","Bien que l'ambiance soit extrêmement tendue, l'heure suivante se déroule sans le moindre incident, puis une flèche siffle au-dessus de votre tête. Tournant la tête vers les buissons situés au nord de votre position, vous voyez une bande d'Inox approcher.","Eine bange Stunde verstreicht ohne Zwischenfälle, dann saust ein Pfeil an deinem Kopf vorbei. Ein Inox-Trupp bricht aus dem nördlichen Unterholz hervor.","Tras una tensa hora sin que ocurra nada, una flecha pasa zumbando al lado de tu cabeza y miras hacia los matorrales del lado norte para ver las enormes figuras de un grupo de guerreros inox aproximándose.","Przez pełną napięcia godzinę nic się nie dzieje, gdy nagle obok twojej głowy przelatuje strzała. Spoglądasz w zarośla na północy i widzisz zbliżającą się bandę Inoksów. "
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_4,"""We must not tarry!"" A guard barks. ""More of the beasts could be anywhere. Press on!""","« Ne nous attardons pas, aboie un garde. Il pourrait y en avoir d'autres. Plus vite ! »","""Wir dürfen nicht trödeln!"", ruft eine Wache. ""Hier könnten überall noch mehr dieser Bestien sein. Wir müssen weiter!""",—¡No perdamos tiempo! —grita uno de los guardias—. Podría haber más de esas bestias en cualquier lugar. ¡Sigamos!,„Nie ociągać się!” - charczy jeden ze strażników. „Może tu ich być więcej. W drogę!“
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_5,"Despite your misgivings, the caravan quickly moves down the road, without giving you and the guards a chance to catch your breath.","Malgré votre réticence, le convoi reprend rapidement sa route, sans vous laisser le temps de reprendre votre souffle, ni aux gardes, ni à vous.","Trotz deiner Bedenken zieht die Karawane schnell weiter, ohne dir oder den Wachen Zeit zu lassen, zu Atem zu kommen.","A pesar de tus dudas, la caravana avanza por el camino con rapidez, sin daros a los guardias ni a ti la oportunidad de tomar aliento.","Pomimo twoich obaw, karawana szybko rusza dalej, nie dając wam szansy na złapania oddechu."
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_6,"Over the next hour, you pray that the wagons make it through this dangerous territory without further incident, but you are not so lucky.","Une autre heure s'écoule et vous priez pour que les chariots puissent franchir sans difficulté ce dangereux territoire, mais hélas, la chance n'est pas de votre côté.","Eine Stunde lang betest du, dass die Wagen dieses gefährliche Territorium ohne weitere Zwischenfälle durchqueren können, doch so viel Glück habt ihr nicht.","Durante la hora siguiente, rezas para que los carros salgan del peligroso territorio sin más altercados, pero no tienes tanta suerte.","Przez następną godzinę modlisz się, by wozy spokojnie przejechały dalej, ale nie macie tyle szczęścia."
Scenario_SOLO_Sunkeeper_CaravanEscort_Misc_7,"You notice the small, furry shapes of Vermlings as they bear down on you, and once again you prepare for combat.",Vous distinguez une horde de petites silhouettes velues qui se précipitent à votre rencontre... des Vermlings ! Et vous vous préparez une nouvelle fois au combat.,"Du bemerkst die pelzigen kleinen Umrisse von Ratzen, die sich der Karawane nähern, und machst dich bereit für einen weiteren Kampf.","Vislumbras las pequeñas formas peludas de los infestores abalanzándose hacia vosotros y, una vez más, te preparas para el combate.","Dostrzegasz, jak małe, futrzaste stwory skaczą na karawanę. Raz jeszcze przygotowujecie się do walki."
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_1,"You are on the brink of exhaustion, but when the last of the Vermlings fall, you once again press on with the caravan.","Vous êtes à bout de forces, mais lorsque le dernier Vermling s'effondre sous vos coups, le convoi se remet en route et, de nouveau, vous suivez le mouvement sans vous faire prier.","Du bist am Ende deiner Kräfte, doch kaum sind die letzten Ratzen tot, treibst du die Karawane erneut voran.","Estás al límite del agotamiento, pero cuando caen los últimos infestores, continúas la marcha con la caravana.","Jesteś u kresu sił, ale gdy ginie ostatni Szczurok wraz z karawaną ruszacie dalej."
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_2,"The carnage you have seen this day will stay with you for a long time, but now you need to keep going... You push until you cannot possibly take another step.","Le carnage de cette journée restera longtemps gravé dans votre mémoire, mais ce n'est pas ce qui vous inquiète pour l'instant. Vous continuez à avancer jusqu'à ne plus pouvoir faire le moindre pas.","Das Gemetzel heute wird dich noch lange begleiten, doch jetzt müsst ihr weiter ... Du hältst durch, bis du keinen Schritt mehr tun kannst.","La carnicería que has presenciado este día te perseguirá durante bastante tiempo, pero, ahora mismo, no puedes parar. Sigues avanzando hasta que no te quedan fuerzas para dar un paso más.","Długo będziesz pamiętać rzeź, której byłaś dziś świadkiem, ale możesz teraz o tym myśleć. Idziesz tak długo, aż nie możesz już zrobić kolejnego kroku."
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_3,"You collapse to the ground, and in that moment, you know at least that you have kept the caravan and its goods safe, delivering it through the dangerous territory.","Vous vous laissez tomber par terre avec un soupir de soulagement, en vous disant que vous avez au moins réussi à sauver le convoi et ses marchandises en les aidant à traverser ce territoire dangereux.","Als du sicher bist, dass du die Karawane und ihre Güter unbeschadet durch das gefährliche Territorium gebracht hast, brichst du kraftlos zusammen.","Caes al suelo y, en ese momento, eres consciente de que al menos has mantenido a salvo la caravana y sus bienes, y has ayudado a que saliera de ese peligroso territorio.","Padasz na ziemię i w tej chwili już wiesz, że karawana i jej ładunek są bezpieczne. Udało ci się przeprowadzić ją przez niebezpieczny obszar,"
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_4,"You lie in the dirt, surrounded by the caravan - now finally able to stop and rest.","Vous êtes allongée par terre, entourée par les chariots du convoi, qui font cercle autour de vous. Depuis le temps que vous rêviez de pouvoir vous accorder quelques instants de repos !",Du liegst im Staub zwischen den Wagen. Endlich kannst du rasten.,"Yaces en la tierra, rodeada por la caravana que, por fin, puede detenerse y descansar.","Leżysz w błocie, otoczona wozami karawany, która wreszcie może się zatrzymać na odpoczynek."
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_5,"As you fade in and out of consciousness, a vision comes to you: a blinding light reaching down from the heavens; a voice commending you on your fight against evil; a warm feeling removes your body’s exhaustion.","Mais alors que vous êtes sur le point de vous endormir, une vision s'impose à vous : une lumière aveuglante descend des cieux tandis qu'une voix vous félicite pour votre combat contre le mal. Aussitôt, un sentiment de bien-être chasse la fatigue de votre corps.","Während du gegen die Bewusstlosigkeit kämpfst, hast du eine Vision: ein blendend helles Licht aus dem Himmel. Eine Stimme, die deinen Kampf gegen das Böse lobt - ein warmes Gefühl, das die Erschöpfung aus deinem Körper tilgt.","Cuando pierdes la consciencia, tienes una visión: una luz cegadora que desciende de los cielos, una voz que encomia tu lucha contra el mal, una sensación cálida que elimina el cansancio de tu cuerpo.","Tracisz i odzykujesz przytomność, gdy nagle ukazuje się wizja: oślepiające światło dociera do ciebie z niebios; a jakiś głos nakazuje ci walczyć z wszelkim złem; czujesz ciepło, które usuwa rany i zmęczenie."
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_6,"When you open your eyes, you see nothing, but you do feel restored. There is a heavy weight on your chest, though.","Quand vous rouvrez les yeux, vous ne voyez rien, mais vous vous sentez en pleine forme. Mais... quel est ce poids sur votre poitrine ?","Als du die Augen öffnest, fühlst du dich erholt. Allerdings lastet irgendetwas schwer auf deiner Brust.","Cuando abres los ojos, no ves nada, pero te sientes recuperada. Sin embargo, notas algo pesado sobre el pecho.","Kiedy się budzisz i otwierasz oczy, niczego nie widzisz, ale czujesz się uzdrowiona. Czujesz na sobie jakiś ciężar."
Scenario_SOLO_Sunkeeper_CaravanEscort_Success_7,"Looking down, you see a glorious shield resting on your armor. No one seems to know where it came from.","Baissant les yeux, vous remarquez qu'un magnifique bouclier est posé sur votre armure. Nul ne semble savoir d'où il provient.","Du blickst nach unten und siehst einen prächtigen Schild, der auf deiner Rüstung ruht. Offenbar weiß niemand, woher er kommt.",Miras hacia abajo y ves un glorioso escudo descansando sobre tu armadura. Nadie parece saber de dónde vino.,"Spoglądasz w dół i widzisz wspaniałą tarczę, która spoczywa na twej zbroi. Wygląda na to, że nikt nie wie, skąd się wzięła."
Quest_SOLO_Quartermaster_StorageFees_NAME,Storage Fees,Frais de stockage,Lagergebühren,Tasas de almacenamiento,Opłata magazynowa
Quest_SOLO_Quartermaster_StorageFees_DESC,The Quartermaster's supplies are being robbed!,Quelqu'un dérobe les provisions de l'Intendant !,Die Vorräte des Quartiermeisters werden geplündert!,¡Alguien pretende robar los suministros del Intendente!,Ktoś wykrada zapasy Kwatermistrza!
Quest_SOLO_Quartermaster_StorageFees_List,The Quatermaster's Solo Quest,Quête solo de l'Intendant,Soloquest des Quartiermeisters,Misión en solitario del Intendente,Solowa misja Kwatermistrza
Quest_SOLO_Quartermaster_StorageFees_INTRO_TRAVEL_1,"You take long, deep breaths as you power through the streets of Gloomhaven.","Respirant le plus régulièrement possible, vous courez dans les rues de Havrenuit.","Du nimmst tiefe Atemzüge, während du durch die Straßen von Gloomhaven eilst.",Jadeas y respiras con dificultad mientras corres por las calles de Gloomhaven.,"Łapiesz szybkie, płytkie oddechy, gdy biegniesz ulicami Gloomhaven."
Quest_SOLO_Quartermaster_StorageFees_INTRO_TRAVEL_2,"Going with all the haste your musuclar frame allows, you race towards the Old Docks, where you have been storing some of your excess supplies at a shipping warehouse.","Sans perdre un instant, vous gagnez les Anciens Quais, où vous avez décidé de stocker une partie de vos biens en surplus dans un hangar maritime.","Du rennst, so schnell es dein wuchtiger Körper zulässt, zu den alten Kais, wo du einige Vorräte in einem Lagerhaus aufbewahrst.","Con toda la rapidez que tu musculoso físico te permite, corres hacia los Antiguos Muelles, donde has guardado parte de tus suministros en un almacén portuario.","Tak szybko, na ile pozwala twoja tusza, gnasz w stronę Starych Doków, gdzie w jednym z magazynów przechowujesz część swoich zapasów."
